pH,Dissolved Oxygen (mg/L),Turbidity (NTU),Electrical Conductivity (µS/cm),Total Dissolved Solids (TDS) (mg/L),Nitrate (NO3⁻) (mg/L),Phosphate (PO4³⁻) (mg/L),BOD (mg/L),COD (mg/L),Coliform Bacteria (CFU/mL),Ammonia (mg/L),Water Quality Category
6.74407647,9.394912924,4.253080289,399.7611299,439.7456954,7.622120583,2.967876272,7.839718505,49.18937339,562,2.081960851,1
7.49035382,11.90723165,2.806113941,1942.819264,180.2477847,5.917169689,0.635552454,3.948072829,20.73104082,475,2.254536691,1
6.568777042,7.187525029,2.616954557,270.9418342,260.4565456,1.920233691,2.137709277,6.460469441,11.63912889,86,4.13451772,0
8.318640804,10.25891376,0.573844359,837.0219546,328.7254862,6.666856519,0.804301467,1.506109531,38.20253137,67,0.490027074,0
7.017559963,12.85977748,4.300698467,1488.87572,235.0357141,6.23379566,3.501739444,9.326481005,28.03946011,595,3.519710412,1
7.825044569,10.15863188,3.614071516,1423.881135,242.3689043,6.024691705,3.794340672,3.830588064,14.03011376,978,1.689727855,0
7.123422152,6.329594748,0.33834181,874.3208419,198.6281004,4.89785868,0.528982601,7.29521422,38.30091276,41,1.549900682,1
7.540136042,4.244007816,3.539175486,725.7221275,303.9043175,5.28656604,2.530699263,0.203410819,11.24699636,730,4.66271563,0
7.593420559,12.70098874,2.717691087,825.3441382,432.7585376,3.344425271,4.07312528,2.051871429,44.80786762,56,1.242342622,1
6.869708911,4.212694109,0.408626729,565.3387132,140.6877701,5.193126926,4.680815208,4.870825443,15.54610116,737,3.212659177,1
8.439169256,12.74701673,2.291503208,450.3992305,470.4948674,1.975559057,2.567589334,8.782524677,15.09247515,195,1.375638787,1
8.050265647,9.28937134,2.423481436,991.9274102,360.0894442,8.051743974,4.751396118,5.2725515,17.02689192,759,2.535719413,0
8.378997883,13.39067699,0.828872701,573.6408243,420.4729457,1.857769547,2.678444852,9.298704823,48.41065434,677,3.931464463,1
8.289654701,11.98783236,4.728490735,610.5502465,300.2858117,0.849662899,1.970952473,4.837968966,37.72677441,61,4.408612618,1
7.695799958,13.97934111,4.249876857,1330.674324,400.7825156,4.362460264,4.241015643,4.904490967,42.05486142,262,4.193486201,0
8.34374847,7.507118155,3.345111687,1938.647797,57.2901788,6.583074395,2.464913552,1.197467885,25.90539943,111,2.910903681,1
6.676985004,11.67188289,2.311477805,1227.092541,418.2711912,4.377168249,2.359512553,8.026562442,23.4525091,764,1.244081577,1
6.891965725,8.019309136,2.058827708,200.1099608,68.06248659,2.76754132,2.451562447,2.469654125,19.37936027,710,3.306166916,1
6.590454578,8.798756203,3.254867336,197.388047,450.4610194,5.581711839,4.233925009,8.996124894,29.22592113,177,3.549525229,0
7.150660662,10.27505463,2.727159347,1905.275281,496.3832363,3.470023354,4.159707708,9.108242203,32.07314934,947,0.053459951,0
7.277354579,12.73677114,0.311365529,629.7170411,182.330358,9.328676901,2.017599962,9.433101119,35.27099375,25,2.196052555,0
7.042698064,13.84083469,2.562513244,229.5306229,144.6433503,9.226451396,1.666499299,5.202304891,20.28474016,409,4.216310214,0
8.157475018,11.68273414,4.032018086,1218.136945,394.4135137,5.0237182,2.45964012,6.770937848,47.94616324,757,2.447937981,1
7.213506653,8.177667822,2.296199388,1266.115118,163.8618534,3.27883994,2.863862549,7.785158801,16.79033993,530,1.556877211,0
7.061869019,8.213570023,0.259782888,1314.584399,439.5030724,7.37132414,1.191686053,1.310146187,48.62612699,776,4.358988855,0
7.585392166,11.37582302,3.931390997,571.4339543,96.27916647,0.367129435,3.969775424,6.00957195,10.5942449,316,0.779403488,0
6.78184845,6.387771458,1.006818911,79.46583422,106.6798384,4.74769006,2.432413829,0.342979013,29.24502767,531,1.032226162,1
8.104393962,5.104741131,1.293104174,1931.77997,490.6181998,3.363233943,1.670227742,4.975660834,23.33471352,105,3.436861835,1
6.649101287,7.546221576,0.823531767,539.2414391,353.2275042,9.205358851,0.534104965,1.548426816,27.96493656,748,1.762179708,1
8.473773873,6.872389917,1.651075324,1368.251262,431.099251,0.120030273,1.194225802,1.82922926,32.82658316,817,3.565084179,0
8.044489539,6.963081205,3.783757528,1427.928246,195.9482198,5.528148757,4.746405859,3.650475667,27.42356632,463,0.788518106,1
6.897431363,6.33607751,2.596929298,1239.514463,354.4176873,7.406635811,1.525498434,4.324371667,26.59387401,245,1.261345448,1
6.511044234,4.420931896,1.024406371,660.1694187,317.4088223,4.850179875,0.844296447,6.231724245,39.30893662,80,0.783236892,0
8.130922857,4.178739347,4.389150391,578.6376948,321.4175541,0.854030302,2.303363958,0.744284184,37.435051,661,4.764551568,1
7.913714688,13.8772239,4.397909275,1215.453151,357.1396068,9.7246139,1.535438717,5.036917612,43.33085128,908,2.027019804,0
7.958014336,8.277731337,4.352892125,1738.886486,308.9116279,5.180104314,0.175796251,1.826251303,19.99835925,395,1.68609955,0
8.042540693,7.843266472,1.193981057,1896.130771,243.0780662,6.141862443,1.615726086,5.73975175,34.38114039,521,0.071010781,1
6.648089303,10.79647283,2.256196721,256.5163186,174.1652125,2.366097827,2.72054312,6.374046123,33.40779142,832,0.767087897,0
7.216931457,6.182538879,4.924948281,351.9157946,395.8615989,4.834980851,2.75856186,5.567092566,24.78951243,735,2.105679281,0
6.731738119,13.49961184,3.860062382,1892.235705,151.8225935,4.29149492,1.782794606,7.382955105,29.44230168,925,0.342513963,0
8.226206852,11.86345014,0.135837106,1486.243695,361.5594378,0.74895842,2.236513781,3.356092442,22.55128573,263,2.553696648,0
7.746596254,4.894110023,0.326022956,1771.837958,154.9997702,1.061603535,4.827589591,7.651065916,15.6737759,660,2.275077192,0
7.16179605,8.175807758,2.319656884,445.1336366,331.3985765,8.374725196,1.886742386,4.327670817,18.55204843,789,3.835840702,0
6.627116701,12.79118308,4.546101029,1195.792449,386.1852202,2.398199522,1.291134066,4.841844983,14.22054586,273,3.299013507,1
7.121964643,13.44732022,2.69350899,1417.222209,148.42125,1.949582715,1.21733522,6.481021273,37.32278301,705,2.229736527,0
7.150366644,8.674015112,2.48906254,1376.218177,76.97448539,5.049114513,2.288823064,0.18358384,36.42909572,943,1.123303501,0
7.959212357,10.13411389,0.5273685,845.8957972,108.9381843,7.687471314,3.797600744,6.539942214,48.02425486,171,3.63431783,0
7.775114943,5.670339461,3.283900524,80.0200388,322.6986353,0.619465186,1.029940921,6.185851491,39.18713655,264,3.539310517,0
8.274425485,13.91168626,4.110515803,1186.705811,432.2508828,5.768079196,3.546480636,3.098471168,12.08183355,962,0.766480803,1
7.44442985,6.316717014,1.902100038,543.5480014,70.24856956,1.192104428,0.105749117,0.857942849,45.36980696,821,4.573759157,1
6.739188492,13.42731774,3.878059255,927.99578,380.3680666,0.364610508,2.09466489,0.909354499,44.50700652,25,0.32202558,0
7.926489574,10.49646649,4.82238327,1917.282979,203.5933907,0.527439522,3.879325326,9.23223747,27.73281283,468,0.275188544,1
8.021570097,10.07736795,1.018832296,828.1188694,265.3377665,8.341641082,1.693664779,6.892793212,33.43452202,861,0.936752088,0
7.622554395,9.12688511,2.616648156,1687.613133,467.9867974,1.179724836,2.818685507,1.271026138,49.0431333,475,4.54730399,0
8.04193436,6.306698117,1.43568979,417.6541812,199.3871771,0.451513644,1.024896164,3.567231693,31.29217455,355,2.59999062,0
7.487591193,5.76528032,3.964272095,1361.297971,259.4016203,4.378998871,3.709976956,5.924829939,46.21287314,25,3.939704603,0
7.545465659,6.204862091,2.887966829,1955.163561,56.15708664,8.439934719,0.261395516,8.355717051,13.32155031,33,1.13921594,1
7.355082037,5.864382621,3.172912088,248.6915467,86.719424,2.624083765,4.262713224,0.436609287,17.64207475,263,2.451109873,1
6.550838253,11.79584474,3.989570798,66.22388734,166.366216,4.217126175,0.990981932,2.366331315,27.63019774,137,1.791447318,0
6.715782854,7.501252592,1.979852363,895.4864456,62.53350837,0.399225326,4.371990159,8.897489903,33.39027233,815,4.139143035,0
6.562858371,4.578426766,4.575450342,230.619692,334.1188967,4.490785141,1.762646207,0.091655502,42.64911407,694,0.113022197,1
7.772820823,13.6910263,2.665144336,1509.349482,241.8792606,5.776130806,3.613417872,2.013991028,49.53048461,874,1.21921365,1
7.128711962,12.83785885,0.789774114,1833.369895,296.6653412,5.709070538,1.596126489,9.59024176,25.55405986,753,0.762871122,0
7.517141382,13.27752283,3.479495591,896.3408968,128.5912337,3.324266922,4.529558356,6.134018465,11.89662545,565,4.295945194,1
8.315132948,13.94907823,3.966306752,554.4877022,183.1694132,3.155331807,0.633185628,2.616713666,42.04686013,461,2.337719248,0
6.998584458,5.738952492,1.583808385,897.0864721,348.7210137,1.066236189,0.892598946,0.669910944,34.17522876,167,2.021100219,1
7.320765846,7.962420189,4.285896285,1460.723245,484.3862256,3.667983206,2.465150626,0.281913404,17.94171435,630,2.247413811,1
8.011102277,11.58238476,4.530716274,67.65561508,72.68754812,0.994946689,0.409692195,2.447450796,29.79313826,654,4.859622754,1
6.957596331,10.96020618,1.384522437,1199.435279,450.6729444,7.665959447,0.979900924,8.814858196,39.69240982,80,4.251336972,1
6.65395982,5.538959063,4.917607364,1245.918786,309.5965406,9.662742977,4.718831911,4.159136543,40.81647148,756,3.531843859,0
7.079502906,12.15833125,0.70355764,1293.492081,303.763805,9.700744567,4.882448306,7.203333692,29.98473648,913,1.452394796,0
6.822442575,6.244405718,1.010078342,521.943056,275.1253408,8.650710994,1.881296647,9.182850354,22.20858121,863,0.825864998,1
8.359395305,6.238176148,0.921124196,1442.402811,81.22733866,6.007921493,4.616430105,4.080404616,48.94970328,869,4.607168145,0
8.116240759,9.369744229,4.46994855,228.2133983,90.44458328,7.008656972,2.724123378,1.91277371,36.53450444,406,2.115377614,1
7.766807513,9.929399348,3.271462762,438.5771561,320.4104025,2.852058027,1.348712329,5.171179309,26.32950077,573,1.393778997,1
8.24292118,9.800862078,0.760521416,1761.066591,203.4313571,6.307704202,3.511993605,9.080836871,21.21852897,45,2.354604132,0
8.107344154,4.914868374,2.201617092,1490.510144,462.77063,4.556495494,3.294509033,8.043744141,39.24411932,598,4.589237114,0
6.873140118,12.77460863,3.076490125,76.80383032,232.9657418,4.820173398,4.945626596,0.658298434,19.68733782,610,1.935336567,0
8.285117997,6.656000426,0.417320425,534.3337077,114.4766564,7.577765604,1.325236437,6.925728001,16.86839956,806,2.813204986,1
7.578684484,5.295149213,4.412081842,468.0926418,371.6234751,2.819183556,3.360297513,5.718975225,31.19335556,910,4.014831506,0
8.11488031,12.8874808,4.018017677,578.0723397,182.0090396,3.180396117,0.260118775,9.074631763,21.59949571,52,2.135662655,0
8.2921826,13.55651498,2.526033868,532.741552,286.4616383,9.246417911,0.568230193,1.224814169,35.1562058,983,1.16770901,0
7.13600695,12.62127617,4.835633076,171.9262767,364.0247535,0.562242949,0.019591875,5.340361132,14.71754699,703,4.972628742,0
6.720103849,12.09516075,2.088804896,944.9340074,455.11885,4.856342984,4.997303405,8.794626935,36.19764418,958,4.782854287,1
6.955870325,10.55241981,4.920551595,1478.830276,406.4860377,9.128008004,4.011368486,4.100237867,21.33186112,475,4.217395846,1
7.354215577,9.508573706,3.339599994,1233.126863,354.3624805,6.103630078,3.933615074,4.819949177,10.00971738,591,3.441869397,1
8.136029532,4.869867599,3.173356366,1362.099754,355.8349321,5.464070742,2.548630376,0.704606777,15.07744231,15,1.47432814,1
8.221461167,8.084532131,0.829774476,208.2408981,475.6660898,2.497441792,1.500335415,2.781436404,47.34461511,359,4.567064691,1
6.513904261,7.72688517,4.409638792,1905.406885,183.1208439,3.432754891,0.756321422,3.245066492,44.69418556,486,1.377783351,1
7.521494605,6.597537838,2.13744844,1685.059076,50.50044239,8.520484158,1.423373694,9.451224487,19.34436128,837,4.004047473,1
7.334822006,11.23420114,0.811167029,1619.926121,172.3795517,5.592181318,1.87985611,2.826673605,41.13487618,705,4.59129084,0
6.944215621,8.958757351,0.0630376,1654.81842,148.0511208,5.147421938,3.781550485,4.608687353,34.34286373,501,3.015019202,1
6.739730735,4.810462159,2.798778418,1868.785491,347.8255633,0.995797135,2.698308945,6.713044236,48.83618846,140,4.015281089,1
7.175230343,6.201832019,2.636998111,1111.295234,335.1702199,0.160281565,0.387418133,1.621833724,24.94422638,619,3.958475496,1
8.385819408,10.83258764,3.596768112,440.5499348,317.0576222,9.636851887,0.090145045,4.864423871,37.2584245,814,0.965788756,1
7.146405864,4.761308595,4.451290265,1252.728035,57.30954944,3.769861673,0.511660898,7.385390395,12.5414289,776,3.339622368,0
7.537581243,12.51206914,0.397032923,1498.618913,377.9501245,6.032130621,2.052493568,8.66855213,25.84989387,446,0.467339685,1
7.906037918,8.95146527,3.657482452,1488.938917,195.5886856,0.797150732,4.665964585,6.262592747,48.55270645,289,2.539250716,1
7.227259205,8.805865773,0.93705972,1066.825597,349.2751951,6.831142857,3.187012406,6.690535153,31.55923498,208,0.811177741,0
8.443564165,9.924077847,4.290885266,183.4945027,300.4602928,9.325667087,4.009129499,1.262834726,21.51518013,474,2.081747494,1
8.42489459,12.24680966,4.095317569,773.6702299,204.2289164,5.75665253,2.331872973,9.457764972,14.81083853,412,4.164910373,1
7.003564592,7.478092079,2.703968775,1845.494887,110.5593202,1.261153224,1.808330416,1.325740775,38.14113361,676,4.935839198,1
7.494497012,10.78016153,3.551213993,1189.675374,92.48850395,5.817215275,0.542001864,7.746729372,35.79424174,426,1.589799158,1
7.10175662,9.65731964,1.571750566,1099.747289,424.1832499,7.663472131,4.379665111,2.648163218,24.95754854,853,2.659778494,1
7.069680989,6.670282702,2.355839495,574.264353,463.2788939,4.064165366,3.915800145,9.335931437,48.03765407,370,2.556490122,1
6.573773895,12.78629986,4.108184489,768.4753938,342.404621,8.798377479,0.840590488,7.199595394,10.88811252,831,4.772007549,1
7.719128668,11.97426022,2.296325986,1795.924874,96.54535169,6.486829534,2.561302819,7.53813713,22.14895407,663,2.392918662,0
7.505358046,10.58451835,1.788991327,1349.602943,230.9122476,8.992489183,2.43687404,2.190591731,46.84277945,966,3.495531027,0
6.602957502,12.50581729,2.471062236,1585.404702,378.02264,6.235053112,3.125457763,4.430399766,22.83741753,289,4.608946166,1
7.057292928,12.67294201,4.141246262,935.973575,400.9193978,1.31287972,4.73093447,6.178131946,20.09011335,431,1.866892798,0
8.316531772,11.08362977,1.676040237,1278.982078,103.19838,3.096917111,2.898857209,7.699736182,31.3688164,267,4.510611191,1
6.979123781,12.37013328,0.868807966,534.348037,50.01382348,2.017949483,2.701086334,1.039593759,42.95207,150,4.587281109,0
6.789789744,10.97471462,3.560070102,1425.648619,370.4616706,9.088264977,0.251614665,9.623653165,14.12587044,718,4.65331252,1
7.478905521,10.80140772,4.129891064,883.8226007,210.4682792,7.604000673,0.31453738,8.902206706,47.72082839,254,1.352230927,0
8.471300908,10.18611378,0.503187393,912.9637539,164.5165992,6.763983689,0.936733957,2.703485905,41.80291525,352,2.001777971,1
6.984110543,11.5271664,1.199370564,1316.178533,55.80386141,3.009663196,0.162353858,8.22760243,17.25001022,376,4.351979541,0
7.844271095,5.586051053,0.709859949,1875.747212,293.134733,1.840447721,3.716764478,5.18323923,38.48031845,652,1.795809121,0
8.023239231,12.80870759,1.739707058,174.8123759,433.0178309,7.56451088,3.61665152,4.618064816,25.39834891,854,3.001265165,1
6.975275088,12.71843528,2.251754895,1658.249313,480.9342408,4.741579459,0.680281172,3.144341058,26.09178712,357,0.590272536,1
7.956432697,4.29247283,3.744131685,620.1470653,304.5852278,2.257895522,4.180394504,5.809685866,41.3316037,607,0.281374941,0
7.235566265,12.25816751,3.255737924,915.6429363,281.5075975,6.166219782,0.773930174,7.298891177,48.51139232,940,2.059969947,0
7.764611661,5.288698675,3.104642837,92.73099111,88.27537347,0.403338521,1.505877935,4.10932905,15.06623491,369,2.894582663,1
7.767059422,7.351188543,1.761874733,637.0398518,296.9927607,3.261702541,1.244884496,6.29219193,26.82520948,226,1.963495567,0
7.571549368,11.43508256,4.207237765,1030.130923,220.9905855,4.685569946,1.861535493,6.993129212,29.23766432,704,2.888678851,1
6.68057954,5.60759896,2.356435837,159.5433508,323.2108764,1.479583341,1.273318829,7.11121817,25.05247268,302,2.575421881,0
8.170604991,12.17967024,4.89552469,1007.636672,224.9268565,9.846544776,2.444754632,0.519660981,24.52756495,825,3.428536146,0
7.14156013,12.32134178,3.170710691,1857.865726,158.1346056,2.090973646,2.037039407,8.597478057,12.0907467,388,3.247662155,1
6.873037021,9.074677338,0.631323708,255.5167753,92.73437385,1.3035313,4.932847454,4.582533148,37.42154482,376,2.121228516,1
6.581550283,4.063858717,3.38088781,1540.65942,191.7133001,2.035348739,0.279631751,2.624160817,27.44857668,972,2.124976202,1
7.681785886,6.870381332,1.625520077,848.8585541,93.49017543,7.690611332,0.710906882,2.417645075,17.79175211,117,0.7038917,0
7.855128724,10.16926918,3.431635983,1327.588743,129.6036279,4.255056593,0.26412947,4.830141128,42.64134009,4,2.56619286,0
6.533175658,13.81186178,0.348205741,557.4613661,494.3012714,5.654159398,3.129205975,8.868315395,42.10242993,443,2.935895641,0
7.524186117,10.31813527,0.874407186,361.009912,249.8466006,0.21009157,0.272546387,3.783475817,29.45566512,351,2.382446987,1
6.95299155,6.598035811,4.278686295,362.9020978,289.3422949,0.344313086,4.182198687,7.497257468,21.93802645,754,1.628536675,0
7.790345581,10.34005703,1.135897785,187.459294,443.1283379,4.458255498,2.559693153,0.96818731,35.52370903,532,3.608242721,0
6.848732858,9.399853797,4.185205626,412.0110746,498.0060052,8.166552432,2.635038123,4.760567022,21.52608543,663,0.373308223,1
7.881875476,11.79845395,1.396380442,1345.227801,312.2215022,8.852388787,2.807972539,9.916861404,19.44031721,639,4.572201849,0
7.273470693,5.069806388,3.21440955,1769.296693,415.6132195,0.867065676,0.854068532,7.704378028,39.22058616,123,0.103217198,0
8.373459977,11.61027903,3.470752868,1637.545087,197.123461,5.383631021,0.988451516,2.105284884,11.61300959,657,4.811750667,1
6.775041888,9.412665787,2.563273766,1386.011904,187.5847809,9.132296863,1.594086614,5.014414737,13.79073884,276,2.311778005,1
7.182132702,13.62992004,1.526553383,265.3421337,231.2166744,3.879727544,2.967482079,2.336247636,10.27152696,821,2.06334972,1
6.726947042,7.41872166,1.063221882,613.9155203,352.6282682,8.295658314,1.05058888,4.095609273,16.11772746,393,1.282220087,1
8.349387237,10.32621893,0.165946773,654.1234069,356.9862602,1.336956544,0.581658636,7.800840237,12.75960035,663,0.050355674,1
8.254678707,13.32028106,1.519732006,537.4160455,191.8577456,9.353944897,4.850584432,7.712248153,49.83209471,359,1.373951322,1
7.015883255,5.02509728,3.265813953,1054.261036,109.9444659,7.514233175,0.109909074,2.281003779,21.5523988,622,0.546999627,1
7.819968092,13.37228487,4.691524092,1094.329939,334.5783154,9.413343928,4.013487027,9.222233182,15.97072051,468,3.299104213,1
8.1344444,10.87885722,4.356022411,745.9276516,107.746638,6.766172336,3.940175748,5.925681828,19.63985032,984,1.595374862,1
7.610401623,4.678370591,3.830323883,739.8888595,310.3216287,3.63403932,1.486070569,3.79924291,47.44502286,627,3.835896642,0
7.559301157,7.009635669,3.942236716,1665.683416,362.0399576,9.381811725,0.67813308,5.019355808,30.80640892,699,1.034580937,1
6.983704582,11.08172089,3.324924517,1589.121054,365.2751734,2.755667763,0.728143234,6.050712534,24.59272385,56,4.501174287,1
6.686205536,4.673506015,1.301434288,650.2018718,389.0624498,3.321725221,3.487158086,5.598905318,44.93565832,250,2.614907576,0
8.294431516,9.821704602,4.535975154,1831.887466,442.7867397,7.00808418,3.214032955,4.864050355,25.79961082,895,0.572530982,1
8.300836114,7.45883057,3.35366156,1907.989283,274.9815464,7.653162995,3.913728371,5.049328041,23.4003428,918,2.004226178,0
7.766202915,10.20915518,2.802203155,687.147957,378.6121353,9.294034838,4.687405862,1.764119104,18.2913009,149,1.03380262,0
7.178059582,4.457420338,0.554947346,741.1286501,328.6277309,2.048024091,3.459636816,8.127329043,25.11187296,451,0.998427131,1
7.198419149,12.71536806,2.235277719,1035.986599,133.9879729,7.979980352,0.779257683,5.417603199,22.66737424,161,2.531848688,0
7.951911358,13.73488969,2.301791356,1885.185584,61.56034019,7.385460534,1.217213084,1.310798617,37.09215837,119,3.359460078,1
8.29422052,13.68877855,4.322818048,1758.822895,178.0436236,0.637945563,4.210968654,7.661571016,21.58330819,581,4.558091028,1
8.274172849,11.49651832,2.733241101,250.007527,249.3651679,3.872231412,1.046530379,9.324439784,33.08798986,923,2.510810054,0
8.059751092,5.300862401,1.902002745,815.8249494,327.697675,2.827654571,0.362611585,9.473068992,12.6356866,350,4.829193875,0
7.784063292,11.58263196,4.884001643,1129.07382,432.4816987,3.044904244,3.51640027,3.690177324,17.65156627,98,4.70817426,0
6.66827993,4.245869165,0.553602967,1031.108321,138.3105725,9.829468796,2.012631777,1.355168736,26.29621086,166,4.32531265,1
6.823257428,4.221235515,2.112742142,428.0329825,106.4974055,6.427774135,4.600200263,5.183996266,47.47797016,809,2.499886325,1
8.297108377,7.236102191,0.210123376,1724.692704,483.5659764,7.176761578,3.251275355,1.126092293,25.09007943,662,0.704519718,0
7.712858119,8.886431904,3.699520604,1370.034527,98.62005172,9.766176373,0.452094889,9.339874185,36.56296485,837,1.089522349,1
6.518394103,11.70407418,4.590382761,1683.921331,265.3209815,3.772017825,4.739282836,1.835796274,20.2034889,975,3.238350014,1
6.702943086,10.83295377,1.400186648,1724.590345,313.503678,8.018401685,1.292786318,2.5276586,15.08134304,513,2.108774901,0
7.827003538,8.459027064,4.291708384,1509.293915,293.6184894,4.345309633,1.686062452,4.066365269,12.341464,663,0.734008159,0
6.510123168,6.736266663,1.461091152,906.4606724,88.71447066,8.695336718,2.011302068,3.831644686,22.21653994,400,2.394969668,0
6.821616103,13.971245,4.553850808,1240.566172,75.6621113,1.806575413,0.256121482,7.946628924,16.30644107,364,0.087152728,0
7.597467579,8.261813022,3.769809518,362.7125419,97.46754236,9.476861771,2.482577111,4.563168206,16.96041792,576,3.669476854,0
7.883790395,8.513870243,4.024533884,1363.608564,313.5144577,2.187717084,0.616592455,1.7076826,40.43037234,325,0.367906472,0
7.803922519,5.636238212,0.090032778,399.5438487,294.9551994,3.26220507,2.004851633,2.672098955,10.63352284,580,3.1455681,0
6.948538619,11.94809549,4.814051785,1403.201701,155.1833564,7.561922341,1.75354894,5.091133852,32.31240503,632,3.965051538,0
